COG	COG term
COG0436	[E] COG0436 Aspartate/tyrosine/aromatic aminotransferase
COG0437	[C] COG0437 Fe-S-cluster-containing hydrogenase components 1
COG0438	[M] COG0438 Glycosyltransferase
COG0439	[I] COG0439 Biotin carboxylase
COG0440	[E] COG0440 Acetolactate synthase, small (regulatory) subunit
COG0441	[J] COG0441 Threonyl-tRNA synthetase
COG0442	[J] COG0442 Prolyl-tRNA synthetase
COG0443	[O] COG0443 Molecular chaperone
COG0444	[EP] COG0444 ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
COG0445	[D] COG0445 NAD/FAD-utilizing enzyme apparently involved in cell division
COG0446	[R] COG0446 Uncharacterized NAD(FAD)-dependent dehydrogenases
